cod_entite,typ_entite,lib_entite,long_wgs84,lat_wgs84,x_centroid,y_centroid,cod_versio,dpt,id,nom,hdf_sociodemographie-hdf_sociodemographie_menrp,hdf_sociodemographie-hdf_sociodemographie_pop_mun
"6252100",QLM,LA LOGE,2.033706278100000,50.408979787800000,578381.723470760043710,2601587.980489200446755,"2021","62","1",Projet,"88","201"
"6253200",QLM,LOZINGHEM,2.497326118400000,50.517256016300003,611378.269668519962579,2613626.019791100174189,"2021","62","1",Projet,"457","1262"
"6253300",QLM,LUGY,2.173466447800000,50.523520204400000,588362.655298370053060,2614324.798948800191283,"2021","62","1",Projet,"55","147"
"6253600",QLM,MAGNICOURT EN COMTE,2.487206404700000,50.406106936599997,610682.689980639959686,2601236.253832899965346,"2021","62","1",Projet,"253","649"
"6253700",QLM,MAGNICOURT SUR CANCHE,2.409913649300000,50.302057111899998,605187.949643149971962,2589632.992174699902534,"2021","62","1",Projet,"45","117"
"6253900",QLM,MAISNIL,2.360929078900000,50.348426084099998,601690.054229340050370,2594798.083013100083917,"2021","62","1",Projet,"98","242"
"6254000",QLM,MAISNIL LES RUITZ,2.585194664900000,50.453162568400003,617645.706478119944222,2606498.363989999517798,"2021","62","1",Projet,"627","1680"
"6254100",QLM,MAISONCELLE,2.144354723300000,50.447820286999999,586273.209820759948343,2605891.944521800149232,"2021","62","1",Projet,"48","125"
"6254200",QLM,MAIZIERES,2.447355209400000,50.323336491299997,607857.065880359965377,2592007.376896500121802,"2021","62","1",Projet,"75","193"
"6254300",QLM,MAMETZ,2.317591455900000,50.633433861100002,598607.560679469956085,2626565.453246800228953,"2021","62","1",Projet,"843","1997"
"6254400",QLM,MANIN,2.510793005100000,50.297156621399999,612389.542689129943028,2589098.193240399938077,"2021","62","1",Projet,"72","185"
"6254900",QLM,MARCONNE,2.045356794400000,50.372005424999998,579196.220246940036304,2597464.192897799890488,"2021","62","1",Projet,"510","1093"
"6255000",QLM,MARCONNELLE,2.013750309500000,50.375210207199999,576944.887615490006283,2597830.163308899849653,"2021","62","1",Projet,"512","1134"
"6255200",QLM,MARESQUEL ECQUEMICOURT,1.935294256900000,50.406858757899997,571371.217845050035976,2601383.052353099919856,"2021","62","1",Projet,"449","986"
"6255300",QLM,MAREST,2.413203384500000,50.468175812600002,605404.863550900015980,2608146.473730400204659,"2021","62","1",Projet,"117","285"
"6255500",QLM,MARLES LES MINES,2.501143333700000,50.503576843600001,611652.742838319973089,2612101.840252799913287,"2021","62","1",Projet,"2383","5579"
"6255700",QLM,MAROEUIL,2.707732175400000,50.324152881800003,626433.434154839953408,2592155.150793799664825,"2021","62","1",Projet,"1044","2464"
"6255800",QLM,MARQUAY,2.420952493700000,50.380944835900003,605966.496828039991669,2598424.993761800695211,"2021","62","1",Projet,"65","179"
